Project ID,Project,Project Manager,Organization,Region,Plan Start,Plan Finish, OD ,AD,BAC,Foreign,AC,ETC
A59875,"Rehabilitation / Improvement of Roads, Streets (P.C.C.) and M&R of Street Lights, Data Gunj Buksh Zone MC Lahore",LG&CD Department,LG&CD Department,North Single,01/07/2024,30/06/2026,23,11,3677,0,900,2777
A40989,Umbrella PC-I for provision of land Acquisition / Compensation of structure and PST pertaining to PSDP funded schemes.,Communication & Works Department,Government of Punjab,South Single,01/07/2021,30/06/2026,59,47,9816.48,0,7011.65,2804.83
A45713,"Jinnah Institute of Cardiology, Lahore",Infrastructure Development Authority Punjab (IDAP),Specialized Healthcare and Medical Education Department,North Single,17/03/2022,29/06/2026,51,39,8837.53,0,6016.08,2821.46
A56116,Rehabilitation of Talagang – Kallar Kahar – Choa Saiden Shah Road.,Communication & Works Department,Communication & Works Department,North Single,15/08/2024,30/06/2028,46,10,5163.44,0,2287,2876.44
A36391,"Establishment of Emergency and OPD Block Teaching Hospital, DG Khan ","Communication & Works Department, DG Khan Medical College",Specialized Healthcare and Medical Education Department,South Single,01/07/2021,29/06/2026,59,47,4035.18,0,1111.57,2923.61
A34257,Establishment of 200 Bedded Mother & Child Hospital in District Bahawalnagar,Infrastructure Development Authority Punjab (IDAP),"Federal Fund, Health & Population Department",South Single,01/03/2021,30/06/2025,51,51,6385.33,0,3375.34,3010
A34447,Extension of District Courts Complex Multan,"Communication & Works Department, Infrastructure Development Authority Punjab (IDAP)",Judiciary,South Single,10/02/2022,30/06/2027,64,40,5624.02,0,2448.45,3175.56
A56114,Rehabilitation / Improvement of road from Fatehjang to Pidigheb road via Dhullian Km 13 to 57.50 Length = 44.50 Tehsil Fatehjang & Pindigheb District Attock,Communication & Works Department,Communication & Works Department,North Single,20/09/2024,27/09/2028,48,9,4703.32,0,1451,3252.32
A52357,"Re-construction of Lady Willingdon Hospital, Lahore","Infrastructure Development Authority Punjab (IDAP), King Edward Medical University",Specialized Healthcare and Medical Education Department,North Single,21/08/2023,30/06/2026,34,22,7508.45,0,4173,3335.45
A58092,"CM Lahore Development Program, Ravi Zone-II.",WASA Lahore,HUD&PHED,North Single,30/09/2024,30/06/2026,21,9,7000,0,3625,3375
A28143,"Establishment of Tertiary Care Hospital (Nishtar -II), Multan ",Infrastructure Development Authority Punjab (IDAP),Specialized Healthcare and Medical Education Department,South Single,01/07/2019,30/06/2026,83,71,13368.64,0,9992.6,3376.04
A65455,Punjab Smog Mitigation And Response Initiative – Air Safe,Environment Protection & Climate Change Department,Environment Protection & Climate Change Department,Punjab Based,14/11/2024,30/06/2026,19,7,5381,0,2000,3381
A33405,"Establishment of Mother & Child Block, Teaching Hospital, DG Khan ","Communication & Works Department, DG Khan Medical College",Specialized Healthcare and Medical Education Department,South Single,01/07/2020,30/06/2026,71,59,4463.76,0,1081.94,3381.82
A65564,"Revamping of Bansara Gali Zoological Garden, Murree","Forestry, Wildlife & Fisheries","Forestry,WildLife,Fisheries",North Single,01/07/2024,30/06/2027,35,11,3915.6,0,474.08,3441.52
A29597,Heritage and Urban Regeneration in Lahore Fort (AFD Funded),LG&CD Department,LG&CD Department,North Single,07/07/2022,06/07/2027,59,35,4036.59,3663,540,3496.59
A23753,PC-1 for Remaining Land Acquisition for GTC Project,Irrigation,Irrigation,Multiple Region,01/07/2018,31/07/2025,84,83,8171.03,0,4642.2,3528.84
A03288,"Establishment of 100-Bedded Mother and Child Hospital, Murree (for Conversion into General Hospital)","Infrastructure Development Authority Punjab (IDAP), Specialized Healthcare and Medical Education Department",Health,North Single,01/07/2017,28/06/2026,107,95,4157.51,0,600,3557.51
A57298,Concrete Lining of Irrigation Channels to Improve Water Delivery Performance and Conveyance Efficiency-III,Irrigation,Irrigation,Punjab Based,01/07/2024,06/06/2028,47,11,3995.29,0,400,3595.29
A28453,"Establishment of Teaching Hospital (Sheikh Zayed-II), Rahim Yar Khan ",Infrastructure Development Authority Punjab (IDAP),Specialized Healthcare and Medical Education Department,South Single,01/07/2019,30/06/2026,83,71,7066.9,0,3440,3626.9
A32587,"Design and Construction of Net Zero Energy Building (ACEIP , DLI-8)",Energy Department,Energy Department,North Single,01/07/2020,30/06/2027,83,59,5781.95,0,2085,3696.95
A55681,Punjab Socio Economic Registry (PSER),"Bureau of Statistics Punjab, District Administration, Punjab Information Technology Board (PITB), Punjab Social Protection Authority, Urban Unit","Planning & Development Board, Punjab",Punjab Based,01/07/2024,30/06/2027,35,11,5112.68,0,1357.27,3755.41
A34473,Upgradation of DHQ Hospital District Hafizabad ,Health & Population Department,"Federal Fund, Health & Population Department",North Single,24/03/2021,30/06/2024,39,51,9795.18,0,6013.84,3781.35
A27463,Construction of MPA Hostel Lahore Phase II ,Communication & Works Department,Provincial Assembly,North Single,01/07/2019,30/06/2027,95,71,6296.75,0,2480.68,3816.07
A56177,Rehabilitation / Re-Construction of road from Narowal to Muridke (Length Km No.0.00 to 33.21 = 33.21 Km upto District Boundary) District Narowal,Communication & Works Department,Communication & Works Department,North Single,01/04/2024,30/06/2028,50,14,6151.53,0,2335,3816.53
A57946,Central Punjab Non-Formal Education Project,Literacy & Non Formal Basic Education,Literacy & Non Formal Basic Education,North Single,01/11/2024,31/10/2027,35,7,4757.2,0,911.58,3845.61
A59881,"Rehabilitation / Improvement of Roads, Streets (P.C.C.), Sewerage / Drainage and M&R of Street Lights, Aziz Bhatti Zone MC Lahore",LG&CD Department,LG&CD Department,North Single,01/07/2024,30/06/2026,23,11,3947,0,100,3847
A60025,CM Punjab: Livestock Card,Livestock & Dairy Development Department,Government of Punjab,Punjab Based,01/07/2024,30/06/2026,23,11,4382.08,0,507.64,3874.44
