Project ID,Project,Project Manager,Organization,Region,Plan Start,Plan Finish, OD ,AD,BAC,Foreign,AC,ETC
A00920,"Sewerage System from Larechs Colony to Gulshan-e-Ravi, Lahore.",WASA Lahore,HUD&PHED,North Single,25/06/2020,30/06/2028,96,60,14165.06,14165,231.91,13933.15
A36137,"Establishment of University of Applied Engineering and Emerging Technologies (UAEET), Sialkot",Infrastructure Development Authority Punjab (IDAP),Higher Education Department,North Single,08/09/2021,30/06/2027,69,45,17685.7,0,3169.79,14515.92
A37474,"Improving Workforce Readiness in Punjab Project (Cost: FEC $100m, Local $10m)",Skill Development & Entrepreneurship Department,Skill Development & Entrepreneurship Department,Punjab Based,13/01/2023,29/12/2028,71,29,23982,21896,6510.31,17471.69
A45331,Punjab Resilient and Inclusive Agriculture Transformation (PRIAT) (2022-23 to 2026-27),Agriculture Department,"Agriculture Department, Government of Punjab",Punjab Based,01/07/2022,30/06/2027,59,35,54935.56,45864,37250.32,17685.24
A57924,CM Punjab Laptop Program ,Punjab Information Technology Board (PITB),Higher Education Department,Punjab Based,01/07/2024,30/06/2026,23,11,27000,0,8042,18958
A25292,Lahore Water and Waste Water Management Project - Construction of Surface Water Treatment Plant at BRBD Canal Lahore.,WASA Lahore,HUD&PHED,North Single,15/09/2018,30/06/2028,117,81,21045.71,21046,119.35,20926.37
A04013,Punjab Intermediate Cities Improvement Investment Prgramme,LG&CD Department,Government of Punjab,North Single,01/07/2016,25/06/2026,119,107,62280.9,49302,37361,24919.9
A43417,Punjab Urban Land Systems Enhancements (PULSE),"BOR, Punjab Land Records Authority (PLRA)",World Bank,Punjab Based,01/07/2022,30/06/2027,59,35,26440.7,26441,1479.67,24961.03
A55791,"Establishment of Nawaz Sharif Institute of Cancer Treatment and Research, Lahore ",Infrastructure Development Authority Punjab (IDAP),Specialized Healthcare and Medical Education Department,North Single,01/07/2024,28/02/2027,31,11,52772.52,0,14250.8,38521.72
A28611,Construction of Eastern Wastewater Treatment Plant 33 MGD of Faisalabad City Phase-I (DANIDA Assisted).,WASA Faisalabad,HUD&PHED,North Single,28/07/2020,31/08/2030,121,59,56036.79,53221,366.29,55670.5
A36262,Punjab Rural Sustainable Water Supply and Sanitation Project,LG&CD Department,LG&CD Department,Punjab Based,01/07/2021,30/06/2028,83,47,96202,76962,39125,57077
A55881,Developing Resilient Environment and Advancing Municipal Services (DREAMS-I),LG&CD Department,Asian Development Bank (ADB),Multiple Region,01/07/2024,28/06/2028,47,11,64480.71,51585,5783,58697.71
A37208,Implementation of Universal Health Coverage under Health Insurance Program in Punjab ,"Punjab Health Initiative Management Company (PHIMC), Specialized Healthcare and Medical Education Department",Specialized Healthcare and Medical Education Department,Punjab Based,01/07/2021,30/06/2026,59,47,332845,0,200499,132346
